"","v","CATE_v","mean_est","mean_SE","bias","alg","CI.80","CI.80.SE","CI.95","CI.95.SE"
"1","-0.25","-0.09765625",-0.0506674921860249,0.0204543176382721,0,"ch = 0.25",0.27,0.0443959457608462,0.38,0.0485386443980464
"2","-0.25","-0.09765625",-0.0482051234264095,0.0135280400007517,0,"ch = 0.5",0.13,0.0336303434416005,0.2,0.04
"3","-0.25","-0.09765625",-0.0423785993002165,0.00934080899438198,0,"ch = 1",0.04,0.0195959179422654,0.09,0.0286181760425084
"4","-0.25","-0.09765625",-0.0280515914289175,0.0146698188265007,1,"ch = 0.25",0.08,0.0271293199325011,0.15,0.0357071421427143
"5","-0.25","-0.09765625",-0.0277198838007998,0.0103195288613983,1,"ch = 0.5",0.02,0.014,0.06,0.0237486841740758
"6","-0.25","-0.09765625",-0.0242878623289918,0.00778196297912209,1,"ch = 1",0,0,0.01,0.0099498743710662
"7","0","0",0.0363849722991629,0.0198344555363166,0,"ch = 0.25",0.25,0.0433012701892219,0.49,0.0499899989998
"8","0","0",0.0368738607578159,0.0149072661106254,0,"ch = 0.5",0.17,0.0375632799419859,0.26,0.0438634243989226
"9","0","0",0.0471361413399652,0.0126355514968901,0,"ch = 1",0.08,0.0271293199325011,0.13,0.0336303434416005
"10","0","0",0.0552611344880632,0.0226786053226175,1,"ch = 0.25",0.11,0.031288975694324,0.21,0.0407308237088326
"11","0","0",0.0563321697831471,0.0161307529942408,1,"ch = 0.5",0.06,0.0237486841740758,0.1,0.03
"12","0","0",0.0626937676473391,0.012188113414548,1,"ch = 1",0.04,0.0195959179422654,0.04,0.0195959179422654
"13","0.25","0.31640625",0.255585589746184,0.0828486902299961,0,"ch = 0.25",0.67,0.047021271782035,0.9,0.03
"14","0.25","0.31640625",0.250602434871393,0.0559854869124334,0,"ch = 0.5",0.45,0.049749371855331,0.7,0.0458257569495584
"15","0.25","0.31640625",0.240644855706669,0.0375966876881812,0,"ch = 1",0.33,0.047021271782035,0.46,0.0498397431775085
"16","0.25","0.31640625",0.233156558300862,0.0743592904481956,1,"ch = 0.25",0.53,0.0499099188538711,0.73,0.0443959457608462
"17","0.25","0.31640625",0.228843831883493,0.0496144405699725,1,"ch = 0.5",0.37,0.0482804308182932,0.5,0.05
"18","0.25","0.31640625",0.224445272868442,0.032987566542725,1,"ch = 1",0.23,0.0420832508250016,0.37,0.0482804308182932
